col,name,category,subcategory,units,frequency,region,event_patterns,notes,sort_key
ISM_MFG_PMI,ISM Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,US,"ism manufacturing pmi|ism manufacturing index|ism mfg pmi|manufacturing pmi (ism)","Headline US ISM Manufacturing PMI. Moved from Tier 2 DB.nomics (stale) to Tier 3 FMP. UNVERIFIED — run poc_fmp_calendar.py to confirm event name.",1
ISM_MFG_NEWORD,ISM Manufacturing New Orders,Survey,PMI,Diffusion Index (50 = neutral),Monthly,US,"ism new orders|ism manufacturing new orders|manufacturing new orders index","ISM Mfg sub-index. UNVERIFIED — run poc_fmp_calendar.py to confirm event name. May not be on FMP; if not found, drop US_PMI2.",2
ISM_SVC_PMI,ISM Services PMI (Non-Manufacturing),Survey,PMI,Diffusion Index (50 = neutral),Monthly,US,"ism services pmi|ism non-manufacturing pmi|ism nm pmi|non-manufacturing pmi|services pmi (ism)","ISM Services PMI. Moved from Tier 2 DB.nomics (stale) to Tier 3 FMP. UNVERIFIED — run poc_fmp_calendar.py to confirm event name.",3
ISM_SVC_BUSACT,ISM Services Business Activity,Survey,PMI,Diffusion Index (50 = neutral),Monthly,US,"ism business activity|ism services business activity|ism nm business activity","ISM Services sub-index. UNVERIFIED — run poc_fmp_calendar.py to confirm event name. May not be on FMP; if not found, drop from calculator.",4
EZ_MFG_PMI,S&P Global Eurozone Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,EA,"eurozone manufacturing pmi|hcob eurozone manufacturing pmi","S&P Global / HCOB Eurozone Mfg PMI; >50 = expansion. UNVERIFIED — run poc_fmp_calendar.py to confirm event name.",10
EZ_SVC_PMI,S&P Global Eurozone Services PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,EA,"eurozone services pmi|hcob eurozone services pmi","S&P Global / HCOB Eurozone Services PMI; >50 = expansion. UNVERIFIED — run poc_fmp_calendar.py to confirm event name.",20
DE_ZEW,ZEW Economic Sentiment,Survey,Business Sentiment,Balance of expectations (% points),Monthly,DE,"zew economic sentiment|germany zew economic sentiment","ZEW Financial Market Survey; positive = optimistic; leads GDP by 6-9m. UNVERIFIED.",30
DE_IFO,IFO Business Climate,Survey,Business Sentiment,Index (2015 = 100),Monthly,DE,"ifo business climate|germany ifo business climate","IFO Business Climate Index; composite of current assessment + expectations. UNVERIFIED.",40
UK_MFG_PMI,S&P Global UK Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,GB,"uk manufacturing pmi|s&p global uk manufacturing pmi","S&P Global / CIPS UK Mfg PMI; >50 = expansion. UNVERIFIED.",50
JP_MFG_PMI,Jibun Bank Japan Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,JP,"japan manufacturing pmi|jibun bank japan manufacturing pmi|au jibun bank japan manufacturing pmi","au Jibun Bank (S&P Global) Japan Mfg PMI; >50 = expansion. UNVERIFIED.",60
CN_NBS_PMI,NBS China Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,CN,"chinese manufacturing pmi|china manufacturing pmi|nbs manufacturing pmi","NBS official China Mfg PMI; >50 = expansion; large-enterprise bias. UNVERIFIED.",70
CN_CAIXIN_PMI,Caixin China Manufacturing PMI,Survey,PMI,Diffusion Index (50 = neutral),Monthly,CN,"caixin manufacturing pmi|caixin china manufacturing pmi|caixin china general manufacturing pmi","Caixin / S&P Global China Mfg PMI; private SME-focused; complement to NBS. UNVERIFIED.",80
